Handle,Title,Body (HTML),,Type,Published
w9565r-goddess-ribbed-cropped-racerback-tank-red-hot-summer,Goddess Ribbed Cropped Racerback Tank - Red Hot Summer,"<p>The Goddess Ribbed Cropped Racerback Tank has everything you want in a comfy, go-to top. Made in a soft ribbed knit, this tank features a V-neck, thick shoulder straps and cool racerback styling. Create so many versatile looks when you pair this with any signature Alo high-waist bottom.</p>
<ul>
<li>Comfy &amp; lightweight ribbed fabric</li>
<li>Cropped tank </li>
<li>Light-to-medium support for studio &amp; street</li>
<li>Designed &amp; uniquely fit to flatter every size</li>
<li>Wear-tested by our in-house team for the perfect fit</li>
</ul>",,Women:Tops:Tanks,TRUE
w9565r-goddess-ribbed-cropped-racerback-tank-red-hot-summer,,,,,
w9565r-goddess-ribbed-cropped-racerback-tank-red-hot-summer,,,,,
w9565r-goddess-ribbed-cropped-racerback-tank-red-hot-summer,,,,,
w9565r-goddess-ribbed-cropped-racerback-tank-red-hot-summer,,,,,
w9565r-goddess-ribbed-cropped-racerback-tank-red-hot-summer,,,,,
w9551r-airbrush-destination-bra-red-hot-summer,Airbrush Destination Bra - Red Hot Summer,"<p>Pack those bags — and don’t forget the Airbrush Destination Bra. This light-support bra features a crisscross front design, with a peekaboo at the center. Made from our Airbrush fabrication, this street-ready look pairs up perfectly with lounge shorts or capris.</p>
<ul>
<li>Crisscross design with peekaboo at center front</li>
<li>Sculpting signature Airbrush fabric</li>
<li>Light, everyday support</li>
<li>Designed &amp; uniquely fit to flatter every size</li>
<li>Wear-tested by our in-house team for the perfect fit</li>
</ul>",,Women:Bras,TRUE
w9551r-airbrush-destination-bra-red-hot-summer,,,,,
w9551r-airbrush-destination-bra-red-hot-summer,,,,,
w9551r-airbrush-destination-bra-red-hot-summer,,,,,
w9551r-airbrush-destination-bra-red-hot-summer,,,,,
w9551r-airbrush-destination-bra-red-hot-summer,,,,,
w9551r-airbrush-destination-bra-red-hot-summer,,,,,
w9551r-airbrush-destination-bra-red-hot-summer,,,,,
w9551r-airbrush-destination-bra-red-hot-summer,,,,,
w9551r-airbrush-destination-bra-red-hot-summer,,,,,
w9536r-seamless-delight-high-neck-bra-red-hot-summer,Seamless Delight High Neck Bra - Red Hot Summer,"<p>Hello, new favorite tank. The Seamless Delight High Neck Bra has an on-trend high-neck silhouette and soft, smooth feel, so you can wear it from practice to pavement without missing a beat. Pairs well with everything Alo.</p>
<ul>
<li>Studio-to-street superstar</li>
<li>On-trend longline silhouette</li>
<li>Medium impact — practice-perfect</li>
<li>Vintage Wash colors have a soft, sun-faded appearance for a lived-in-and-loved feel</li>
<li>Designed &amp; uniquely fit to flatter every size</li>
<li>Wear-tested by our in-house team for the perfect fit</li>
</ul>",,Women:Tops:Tanks,TRUE
w9536r-seamless-delight-high-neck-bra-red-hot-summer,,,,,
w9536r-seamless-delight-high-neck-bra-red-hot-summer,,,,,
